ranking,name,highSchool,position,height,weight,stars,rating,college
188,Keontra Smith,Chaminade-Madonna Prep (Hollywood	 FL),S,5-11, 192 ,4,0.9227,Miami
189,Woodi Washington,Oakland (Murfreesboro	 TN),CB,5-11, 175 ,4,0.9225,Oklahoma
190,Chris Adimora,Mayfair (Lakewood	 CA),S,6-1.5, 192 ,4,0.9218,Texas
191,C.J. Clark,North Stanly (New London	 NC),DT,6-3, 303 ,4,0.9216,N.C. State
192,Joshua Pakola,St. Francis (Mountain View	 CA),SDE,6-3, 267 ,4,0.9214,Stanford
193,Ge'mon Eaford,Deerfield Beach (Deerfield Beach	 FL),OLB,6-0, 217 ,4,0.9211,Oregon
194,Jalen Curry,St Pius X (Houston	 TX),WR,6-2.5, 208 ,4,0.9209,Arizona
195,Maninoa Tufono,Punahou (Honolulu	 HI),ILB,6-3, 225 ,4,0.9203,USC
196,Makiya Tongue,University Lab (Baton Rouge	 LA),ATH,6-2, 210 ,4,0.9194,Georgia
197,Bryan Hudson,Scott County (Georgetown	 KY),OG,6-4, 292 ,4,0.9189,Virginia Tech
198,Joseph Weté,Gonzaga  (Washington	 DC),WDE,6-4, 220 ,4,0.9187,Oklahoma
199,Daniel Heimuli,Menlo-Atherton (Menlo Park	 CA),ILB,6-2, 225 ,4,0.9187,Washington
200,Jalen Perry,Dacula (Dacula	 GA),CB,6-1, 188 ,4,0.9186,Michigan
,,,,,,0,,uncommitted
201,Josh Delgado,IMG Academy (Bradenton	 FL),WR,5-11, 181 ,4,0.9182,Oregon
202,Quashon Fuller,Lehigh Senior (Lehigh Acres	 FL),SDE,6-2.5, 270 ,4,0.9182,Florida State
203,Kam Brown,Colleyville Heritage (Colleyville	 TX),WR,6-0, 170 ,4,0.9182,Texas A&M
204,Milton Wright,Christian Academy Of Louisville (Louisville	 KY),WR,6-3, 200 ,4,0.9180,Purdue
205,Jaleel McRae,IMG Academy (New Smyrna Beach	 FL),OLB,6-2, 230 ,4,0.9180,Florida State
206,Anthony Bradford,Muskegon (Muskegon	 MI),OG,6-5, 355 ,4,0.9179,LSU
