ranking,name,highSchool,position,height,weight,stars,rating,college
255,Kevin Perkins,Northwest Mississippi C.C. (Senatobia, MS),RB,6-0,230,3,0.8056,Troy
256,Justin Garrett,Cerritos College (Cerritos, CA),WR,6-0,190,3,0.8056,UTEP
257,Tim Faison,Independence C.C. (Tallahassee, FL),OLB,6-2,225,3,0.8056,North Texas
258,Jordan Wayne-Prather,Antelope Valley College (Lancaster, CA),WR,6-1,195,3,0.8056,Marshall
259,Nehemiah Shelton,Long Beach City College (Long Beach, CA),CB,6-1,170,3,0.8045,San Jose State
260,Yohance Burnett,Navarro College (Pearland, TX),OLB,6-1,220,3,0.8028,Tulsa
261,Corey Dunn,City College of San Francisco (Australia, AUST),P,6-1,200,3,0.8024,Iowa State
262,DeMichael Harris,Hinds C.C. (Vicksburg, MS),WR,5-10,175,3,0.8017,Southern Miss
263,TyRee Evans,East Mississippi C.C. (Scooba, MS),OLB,6-2,210,3,0.8017,Southern Miss
264,Kyler Hack,Orange Coast College (Costa Mesa, CA),OT,6-6,300,3,0.8017,Utah State
265,CJ Perez,Butler C.C. (El Dorado, KS),OC,6-2,282,3,0.8017,Northern Illinois
266,Zedrick Raymond,Independence C.C. (Independence, KS),CB,6-0,180,3,0.8017,Miami (OH)
267,Miles Kendrick,College of San Mateo (San Jose, CA),DUAL,5-9,193,3,0.8017,Kansas
268,Colby Ragland,Jones County J.C. (Raymond, MS),OT,6-6,295,3,0.8006,UAB
269,Jordan Carmouche,Navarro College (Manvel, TX),WDE,6-2,255,3,0.8000,uncommitted
270,Umstead Sanders,Hinds C.C. (Port Saint Joe, FL),OLB,6-2,240,3,0.8000,Florida
271,Alex Dalpe,Long Beach City College (Long Beach, CA),OT,6-4,290,3,0.8000,Hawaii
