ranking,name,highSchool,position,height,weight,stars,rating,college
177,Devonta Jason,Landry-Walker (New Orleans, LA),WR,6-2.5,211,4,0.9297,Mississippi State
178,Amari Burney,Calvary Christian (Clearwater, FL),S,6-1,215,4,0.9293,Florida
179,Isaah Crocker,Inderkum (Sacramento, CA),WR,6-1,175,4,0.9274,Oregon
180,Tre Turner,Northwest Guilford (Greensboro, NC),WR,6-4,185,4,0.9273,Virginia Tech
181,Dyami Brown,West Mecklenburg (Charlotte, NC),ATH,6-2,180,4,0.9272,North Carolina
182,Bobby Brown,Lamar (Arlington, TX),DT,6-4,282,4,0.9267,Texas A&M
183,Jaquayln Crawford,Rockdale (Rockdale, TX),ATH,5-9.5,161,4,0.9267,Oklahoma
184,Gurvan Hall,Palm Beach Gardens (West Palm Beach, FL),S,5-10.5,173,4,0.9265,Miami
185,Seth Williams,Paul W Bryant (Cottondale, AL),WR,6-3,212,4,0.9259,Auburn
186,Joseph Ossai,Oak Ridge (Conroe, TX),WDE,6-4,220,4,0.9257,Texas
187,Kyler Gordon,Archbishop Murphy (Everett, WA),CB,5-11,177,4,0.9256,Washington
188,Kalon Gervin,Cass Technical (Detroit, MI),CB,5-11,180,4,0.9251,Michigan State
189,Atanza Vongor,South Grand Prairie (Grand Prairie, TX),S,6-1,200,4,0.9251,TCU
190,Max Wright,Taylor (Katy, TX),SDE,6-4,270,4,0.9245,Texas A&M
191,Alim McNeill,Sanderson (Raleigh, NC),DT,6-2,272,4,0.9234,N.C. State
192,Jahan Dotson,Nazareth (Nazareth, PA),WR,5-11,165,4,0.9228,Penn State
193,Cameron Jurgens,Beatrice (Beatrice, NE),TE,6-3,240,4,0.9227,Nebraska
194,Marquan McCall,Oak Park (Oak Park, MI),OG,6-4,320,4,0.9225,Kentucky
195,Trey Dean,Dutchtown (Hampton, GA),S,6-2,180,4,0.9222,Florida
196,Tommy Bush,Samuel Clemens (Schertz, TX),WR,6-5,191,4,0.9222,Georgia
197,Zakoby McClain,Valdosta (Valdosta, GA),OLB,6-0,205,4,0.9221,Auburn
198,Jarell Cherry,Carter (Dallas, TX),WDE,6-3,224,4,0.9216,LSU
199,Kwantel Raines,Aliquippa (Aliquippa, PA),S,6-3,200,4,0.9213,West Virginia
200,Gilbert Frierson,Coral Gables Senior (Miami, FL),CB,6-1,185,4,0.9211,Miami
201,Dameon Pierce,Bainbridge (Bainbridge, GA),RB,5-11,205,4,0.9209,Florida
202,Asa Martin,Austin (Decatur, AL),RB,5-11.5,200,4,0.9207,Auburn
203,Elijah Moore,St. Thomas Aquinas (Fort Lauderdale, FL),WR,5-11,181,4,0.9205,Ole Miss
204,Joe Milton,Olympia (Orlando, FL),PRO,6-5.5,230,4,0.9202,Michigan
205,DaShaun White,Richland (North Richland Hills, TX),OLB,6-1,222,4,0.9200,Oklahoma
206,Dakereon Joyner,Fort Dorchester (North Charleston, SC),DUAL,6-2,206,4,0.9199,South Carolina
207,Maurice Washington,Trinity Christian School (Cedar Hill, TX),RB,6-1,190,4,0.9190,Nebraska
208,Sam Taimani,East (Salt Lake City, UT),OG,6-2,320,4,0.9190,Washington
209,Jaycee Horn,Alpharetta (Alpharetta, GA),CB,6-0,190,4,0.9188,South Carolina
210,Mike Jones Jr.,IMG Academy (Bradenton, FL),OLB,6-0,228,4,0.9186,Clemson
211,Will Mallory,Providence (Jacksonville, FL),TE,6-5,207,4,0.9183,Miami
212,Austin Osborne,Mission Viejo (Mission Viejo, CA),WR,6-2,188,4,0.9180,Washington
213,Andrew Chatfield,American Heritage (Fort Lauderdale, FL),WDE,6-2,221,4,0.9180,Florida
214,Mychale Salahuddin,Woodson H.D. (Washington, DC),APB,5-10,193,4,0.9179,Pittsburgh
215,Braden Lenzy,Tigard (Portland, OR),ATH,6-0,175,4,0.9174,Notre Dame
216,Calvin Avery,Bishop Dunne (Dallas, TX),DT,6-2,310,4,0.9174,Illinois
217,K'Vaughan Pope,Dinwiddie County (Dinwiddie, VA),ILB,6-2,210,4,0.9170,Ohio State
218,Curtis Dunlap,IMG Academy (Bradenton, FL),OG,6-4,368,4,0.9168,Minnesota
219,Javontae Jean-Baptiste,Bergen Catholic (Oradell, NJ),OLB,6-5,215,4,0.9168,Ohio State
220,Nik Bonitto,St. Thomas Aquinas (Fort Lauderdale, FL),OLB,6-2.5,204,4,0.9167,Oklahoma
221,Sevyn Banks,Jones (Orlando, FL),CB,6-1,180,4,0.9166,Ohio State
222,Malcolm Lamar,Armwood (Seffner, FL),SDE,6-5,250,4,0.9154,Florida State
223,Abdul-Malik McClain,J Serra Catholic (San Juan Capistrano, CA),WDE,6-4,230,4,0.9152,USC
224,Pat Freiermuth,Brooks School (North Andover, MA),TE,6-5,250,4,0.9149,Penn State
