ranking,name,highSchool,position,height,weight,stars,rating,college
690,Jordan Burrell,Tulare Western (Tulare	 CA),CB,6-1,170,3,0.8500,uncommitted
691,Devon Lingle,Duncan U. Fletcher (Neptune Beach	 FL),PRO,6-2,199,3,0.8500,uncommitted
692,Frank Poso,Branham (San Jose	 CA),OT,6-5,315,3,0.8500,uncommitted
693,Asar-Alim Moore,Folsom (Folsom	 CA),ATH,6-1,180,3,0.8500,uncommitted
694,Isaac Hurtado,Cypress (Cypress	 CA),ATH,6-2,230,3,0.8500,uncommitted
695,Derek Bowman,Magnolia (Magnolia	 TX),OT,6-5,255,3,0.8500,uncommitted
696,Kevin Tyler,Ritenour (Saint Louis	 MO),OT,6-5,295,3,0.8500,uncommitted
697,Ramon Henderson,Liberty (Bakersfield	 CA),WR,6-2,170,3,0.8500,uncommitted
698,Nikale Davis,Westmoore (Oklahoma City	 OK),WDE,6-3,230,3,0.8500,uncommitted
699,Jayden de Laura,St. Louis (Honolulu	 HI),PRO,6-0,180,3,0.8500,uncommitted
700,Kaonohi Kaniho,Kahuku (Kahuku	 HI),CB,5-10,160,3,0.8500,uncommitted
701,JL Lavea,James Campbell (Ewa Beach	 HI),ILB,6-0,210,3,0.8500,uncommitted
702,Ezra Evaimalo,Kamehameha (Honolulu	 HI),OLB,6-2,215,3,0.8500,uncommitted
703,Donovan Smith,Bishop Gorman (Las Vegas	 NV),ATH,6-4,192,3,0.8500,uncommitted
704,William Nixon,Midway (Waco	 TX),WR,5-10,175,3,0.8500,uncommitted
705,Cameron Jackson,Wauwatosa West (Milwaukee	 WI),OG,6-5,270,3,0.8500,uncommitted
706,Sione Fotu,Bingham (South Jordan	 UT),ILB,6-1,225,3,0.8500,uncommitted
707,Chris Carpenter,Jacksonville (Jacksonville	 TX),WR,5-11,160,3,0.8500,uncommitted
708,Levi Rogers,Woodinville (Woodinville	 WA),OT,6-5,270,3,0.8500,uncommitted
709,Stacy Sneed,Mansfield Timberview (Arlington	 TX),RB,5-11,175,3,0.8488,uncommitted
710,Peter Latu,Bethel (Spanaway	 WA),OLB,6-4,225,3,0.8488,uncommitted
711,Craig McDonald,Minnehaha Academy-upper School (Minneapolis	 MN),S,6-2,190,3,0.8477,uncommitted
712,Ronald Pledger,Phillips Academy (Chicago	 IL),CB,6-1,166,3,0.8477,uncommitted
713,Sam Daugstrup,St Ignatius (Cleveland	 OH),TE,6-5,230,3,0.8477,uncommitted
714,Clay Caudill,Mansfield (Mansfield	 OH),TE,6-5,230,3,0.8477,uncommitted
715,David Baker,Scecina Memorial (Indianapolis	 IN),WR,6-2,186,3,0.8477,uncommitted
716,Sammy Anderson,Trotwood-Madison (Dayton	 OH),CB,6-2,170,3,0.8477,uncommitted
717,Blaise Gunnerson,Kuemper Catholic School System (Carroll	 IA),SDE,6-5,243,3,0.8477,uncommitted
718,Tahj Brooks,Manor (Manor	 TX),RB,5-10,207,3,0.8477,Tulsa
719,Tee Webb,Cartersville (Cartersville	 GA),PRO,6-3,170,3,0.8477,uncommitted
720,Taji Johnson,Marietta (Powder Springs	 GA),WR,6-3,180,3,0.8477,uncommitted
721,Jacob Freeman,Callaway (Hogansville	 GA),WR,5-10,180,3,0.8477,uncommitted
722,Tyler Beverett,Saguaro (Scottsdale	 AZ),DUAL,6-2,195,3,0.8477,uncommitted
723,Kobe Pepe,St. John Bosco (Bellflower	 CA),WDE,6-1,270,3,0.8477,uncommitted
